order_id,customer_id,product_id,quantity,total_price,order_date,order_status
ORD-0001,CUST-015,51,3,72000,2025-02-25,completed
ORD-0001,CUST-015,11,2,64000,2025-02-25,completed
ORD-0002,CUST-007,22,5,50000,2025-01-23,completed
ORD-0002,CUST-007,36,2,20000,2025-01-23,completed
ORD-0002,CUST-007,45,3,60000,2025-01-23,completed
ORD-0003,CUST-016,24,1,5000,2025-01-18,completed
ORD-0003,CUST-016,40,4,72000,2025-01-18,completed
ORD-0003,CUST-016,51,5,100000,2025-01-18,completed
ORD-0003,CUST-016,27,4,20000,2025-01-18,completed
ORD-0004,CUST-001,43,3,30000,2025-01-08,completed
ORD-0004,CUST-001,15,1,18000,2025-01-08,completed
ORD-0004,CUST-001,3,1,65000,2025-01-08,completed
ORD-0004,CUST-001,54,4,48000,2025-01-08,completed
ORD-0005,CUST-011,16,5,60000,2024-12-14,completed
ORD-0005,CUST-011,14,4,128000,2024-12-14,completed
ORD-0006,CUST-020,39,1,14000,2025-01-20,completed
ORD-0006,CUST-020,17,3,96000,2025-01-20,completed
ORD-0007,CUST-011,7,5,350000,2024-12-30,completed
ORD-0007,CUST-011,1,1,30000,2024-12-30,completed
ORD-0008,CUST-012,30,5,90000,2024-12-23,completed
ORD-0008,CUST-012,52,7,168000,2024-12-23,completed
ORD-0008,CUST-012,57,1,3000,2024-12-23,completed
ORD-0009,CUST-020,23,4,40000,2025-01-04,completed
ORD-0009,CUST-020,14,1,20000,2025-01-04,completed
ORD-0009,CUST-020,22,1,5000,2025-01-04,completed
ORD-0009,CUST-020,24,5,90000,2025-01-04,completed
ORD-0010,CUST-008,18,2,24000,2024-12-18,completed
ORD-0010,CUST-008,17,1,32000,2024-12-18,completed
ORD-0010,CUST-008,16,5,100000,2024-12-18,completed
ORD-0011,CUST-014,7,3,195000,2025-01-05,completed
ORD-0011,CUST-014,46,5,120000,2025-01-05,completed
ORD-0011,CUST-014,57,5,120000,2025-01-05,completed
ORD-0011,CUST-014,53,3,54000,2025-01-05,completed
ORD-0011,CUST-014,49,2,60000,2025-01-05,completed
ORD-0012,CUST-013,32,4,72000,2024-12-28,completed
ORD-0012,CUST-013,33,4,40000,2024-12-28,completed
ORD-0013,CUST-017,18,4,128000,2024-12-11,completed
ORD-0013,CUST-017,17,3,54000,2024-12-11,completed
ORD-0013,CUST-017,14,3,36000,2024-12-11,completed
ORD-0014,CUST-003,23,1,14000,2025-01-20,completed
ORD-0014,CUST-003,43,2,48000,2025-01-20,completed
ORD-0015,CUST-017,5,3,120000,2025-02-28,completed
ORD-0015,CUST-017,1,5,200000,2025-02-28,completed
ORD-0016,CUST-011,54,5,60000,2025-02-11,completed
ORD-0016,CUST-011,53,3,36000,2025-02-11,completed
ORD-0017,CUST-016,37,4,56000,2024-12-05,completed
ORD-0017,CUST-016,34,1,5000,2024-12-05,completed
ORD-0017,CUST-016,21,1,14000,2024-12-05,completed
ORD-0017,CUST-016,35,5,50000,2024-12-05,completed
ORD-0018,CUST-001,29,2,36000,2024-12-29,completed
ORD-0018,CUST-001,52,6,72000,2024-12-29,completed
ORD-0019,CUST-013,52,7,84000,2024-12-02,completed
ORD-0019,CUST-013,47,4,80000,2024-12-02,completed
ORD-0019,CUST-013,57,3,36000,2024-12-02,completed
ORD-0020,CUST-004,27,4,56000,2024-12-12,completed
ORD-0020,CUST-004,24,5,50000,2024-12-12,completed
ORD-0020,CUST-004,51,2,60000,2024-12-12,completed
ORD-0020,CUST-004,40,1,18000,2024-12-12,completed
ORD-0021,CUST-016,31,5,70000,2025-02-14,completed
ORD-0021,CUST-016,51,3,72000,2025-02-14,completed
ORD-0021,CUST-016,33,5,25000,2025-02-14,completed
ORD-0022,CUST-020,32,1,14000,2025-02-08,completed
ORD-0022,CUST-020,19,4,128000,2025-02-08,completed
ORD-0022,CUST-020,33,4,20000,2025-02-08,completed
ORD-0022,CUST-020,13,3,54000,2025-02-08,completed
ORD-0023,CUST-015,57,2,6000,2024-12-30,completed
ORD-0023,CUST-015,56,4,12000,2024-12-30,completed
ORD-0024,CUST-014,7,5,200000,2025-02-03,completed
ORD-0024,CUST-014,31,4,56000,2025-02-03,completed
ORD-0024,CUST-014,11,2,24000,2025-02-03,completed
ORD-0025,CUST-003,53,3,9000,2024-12-19,completed
ORD-0025,CUST-003,54,4,12000,2024-12-19,completed
ORD-0025,CUST-003,11,5,100000,2024-12-19,completed
ORD-0026,CUST-008,46,3,72000,2025-01-28,completed
ORD-0026,CUST-008,36,5,25000,2025-01-28,completed
ORD-0026,CUST-008,38,2,28000,2025-01-28,completed
ORD-0027,CUST-015,53,3,72000,2025-01-09,completed
ORD-0027,CUST-015,54,1,12000,2025-01-09,completed
ORD-0027,CUST-015,11,2,64000,2025-01-09,completed
ORD-0028,CUST-009,40,3,15000,2025-01-03,cancelled
ORD-0028,CUST-009,51,3,60000,2025-01-03,cancelled
ORD-0028,CUST-009,24,3,15000,2025-01-03,cancelled
ORD-0028,CUST-009,27,5,70000,2025-01-03,cancelled
ORD-0029,CUST-008,14,4,48000,2025-01-12,completed
ORD-0029,CUST-008,16,2,64000,2025-01-12,completed
ORD-0029,CUST-008,13,2,24000,2025-01-12,completed
ORD-0029,CUST-008,18,1,20000,2025-01-12,completed
ORD-0030,CUST-019,32,3,42000,2025-02-02,completed
ORD-0030,CUST-019,18,2,36000,2025-02-02,completed
ORD-0030,CUST-019,19,5,100000,2025-02-02,completed
