id,order_number,customer_id,product_id,quantity,unit_price,total_price,order_date,status
f845003e-9f69-4ed2-b7e6-91bf3d4682e6,ORD-20251128-0001,d5cbcd09-6763-416c-b8bd-c5859f32ec8d,b3cc44f1-f3c1-4703-98d8-ac40cb387187,3,70000,210000,2025-09-17 20:57:07,completed
cab8052e-2c74-4136-b0d7-b3b2614c2984,ORD-20251128-0001,d5cbcd09-6763-416c-b8bd-c5859f32ec8d,457afb33-6e9d-4ad9-9f4c-b52be26e5f18,2,65000,130000,2025-09-17 20:57:07,completed
dbb06f3c-023a-48c5-98bd-65f0658109a7,ORD-20251128-0001,d5cbcd09-6763-416c-b8bd-c5859f32ec8d,70710b93-2b14-4674-a243-b919d6002c48,5,85000,425000,2025-09-17 20:57:07,completed
86a8a1ce-6aa5-4fc6-86cb-686f66db945d,ORD-20251128-0002,d05444c6-b8e7-46e9-aec2-6d4dcef2cda5,af7ba84d-676a-47e6-9221-0974fb76dce2,3,45000,135000,2025-10-25 20:57:07,processing
2a142ff8-c129-4f50-872e-61f6da1e78c3,ORD-20251128-0002,d05444c6-b8e7-46e9-aec2-6d4dcef2cda5,54f78d73-e07a-4863-bb29-3c9517a716d3,1,8000,8000,2025-10-25 20:57:07,processing
c1a1b55e-6d87-4b08-a2a1-673257c408f5,ORD-20251128-0003,51457108-5651-4917-aef4-01e005360bcb,7720d4b9-00ca-4de7-9020-041265fc3107,1,28000,28000,2025-10-05 20:57:07,completed
4093e71a-e69a-4523-8eec-b9198e7ca199,ORD-20251128-0004,d47c8b39-984c-426b-903e-aba2ae2c9fb8,b766b9d7-f3ae-4858-8273-7afc2b0d0ea9,3,35000,105000,2025-09-19 20:57:07,completed
2e8eb9d8-a294-4470-bb15-0f544fad6f02,ORD-20251128-0004,d47c8b39-984c-426b-903e-aba2ae2c9fb8,15a2b4b7-8e82-4815-84af-477582d6d4e8,3,45000,135000,2025-09-19 20:57:07,completed
bf16d20e-513f-4b70-af82-784547f84dec,ORD-20251128-0004,d47c8b39-984c-426b-903e-aba2ae2c9fb8,0dcea2ff-2c7d-4349-81a4-9a922d251bc7,3,20000,60000,2025-09-19 20:57:07,completed
1f0cd57b-09d2-44d4-9afb-7798815938fc,ORD-20251128-0005,d47c8b39-984c-426b-903e-aba2ae2c9fb8,d17954aa-743b-4ff8-843f-baa9882e56a3,2,5000,10000,2025-10-13 20:57:07,completed
faf9b821-3675-4d86-aede-75e269152e68,ORD-20251128-0005,d47c8b39-984c-426b-903e-aba2ae2c9fb8,54f78d73-e07a-4863-bb29-3c9517a716d3,5,8000,40000,2025-10-13 20:57:07,completed
2dfc132b-1d61-4d2f-9c76-6e7ae9a56799,ORD-20251128-0005,d47c8b39-984c-426b-903e-aba2ae2c9fb8,36d6f0d3-a4e9-40e8-b4a0-f37ffdc98e80,3,7000,21000,2025-10-13 20:57:07,completed
55b2641d-a387-4317-893d-0450ef6d6f5a,ORD-20251128-0006,1ad5e86a-1d26-431f-b684-6478baa5a883,7a4af2f2-f55b-4300-a4ba-4406efcc350c,4,65000,260000,2025-11-08 20:57:07,completed
377b9efc-209d-46af-a9af-01acacfbfa45,ORD-20251128-0006,1ad5e86a-1d26-431f-b684-6478baa5a883,b3cc44f1-f3c1-4703-98d8-ac40cb387187,4,70000,280000,2025-11-08 20:57:07,completed
b14d0513-140a-47a9-8311-2c74fcc50d99,ORD-20251128-0006,1ad5e86a-1d26-431f-b684-6478baa5a883,f3093aaa-5474-468c-9b8d-9ef9a28956b9,1,40000,40000,2025-11-08 20:57:07,completed
26cc74af-6950-4140-ac1c-b103bac50d0b,ORD-20251128-0007,d47c8b39-984c-426b-903e-aba2ae2c9fb8,0e462ced-37f3-4960-bd58-1461ae7cebe2,4,6000,24000,2025-11-10 20:57:07,completed
8212e81a-ca25-40e0-afea-2cc402d455d3,ORD-20251128-0007,d47c8b39-984c-426b-903e-aba2ae2c9fb8,54f78d73-e07a-4863-bb29-3c9517a716d3,5,8000,40000,2025-11-10 20:57:07,completed
39064525-7acb-4a50-b5a0-4ee4f820501a,ORD-20251128-0007,d47c8b39-984c-426b-903e-aba2ae2c9fb8,36d6f0d3-a4e9-40e8-b4a0-f37ffdc98e80,1,7000,7000,2025-11-10 20:57:07,completed
acbb7b1f-c9b4-4180-9751-d7314aadff94,ORD-20251128-0008,11e05a0b-c2b5-43f1-80f4-46b547188bb9,a0ab615e-653c-4623-96d5-7bc0121b23ee,1,95000,95000,2025-11-27 20:57:07,completed
9b19bf72-4db5-4a79-adb4-918f8ac4ff2e,ORD-20251128-0008,11e05a0b-c2b5-43f1-80f4-46b547188bb9,9932efc2-6bf0-43a3-a3a9-22be92df3e72,1,42000,42000,2025-11-27 20:57:07,completed
e6abe270-93fd-4ec9-99b2-a33feb29741b,ORD-20251128-0008,11e05a0b-c2b5-43f1-80f4-46b547188bb9,17ad20c4-a240-4058-b0d7-6bf0159238eb,1,38000,38000,2025-11-27 20:57:07,completed
ffce746b-c6a9-4cb9-9af2-1232d9f95f9c,ORD-20251128-0009,612e799f-2782-4b21-ac5c-6ac5bd3b9e8a,5264a61a-da95-4ca9-8c42-c845a8fad53e,4,18000,72000,2025-08-30 20:57:07,completed
844bd7e2-8034-4441-8098-e6b1483e7652,ORD-20251128-0009,612e799f-2782-4b21-ac5c-6ac5bd3b9e8a,b3cc44f1-f3c1-4703-98d8-ac40cb387187,2,70000,140000,2025-08-30 20:57:07,completed
7f4dca6c-b574-4e5a-8fdd-28854d9ab395,ORD-20251128-0009,612e799f-2782-4b21-ac5c-6ac5bd3b9e8a,b14d511b-20cd-43c7-9b49-f37c0a9d4e2e,3,8000,24000,2025-08-30 20:57:07,completed
0b852de1-f008-44da-a15a-d4053f951597,ORD-20251128-0009,612e799f-2782-4b21-ac5c-6ac5bd3b9e8a,457afb33-6e9d-4ad9-9f4c-b52be26e5f18,2,65000,130000,2025-08-30 20:57:07,completed
bb580fcf-93e2-4c00-bea2-0a1ecfda38c7,ORD-20251128-0009,612e799f-2782-4b21-ac5c-6ac5bd3b9e8a,932a5d8b-c8d0-442f-91a5-4dc7dbe137f6,3,75000,225000,2025-08-30 20:57:07,completed
b412d2da-ccb9-4cbd-873a-62708298704e,ORD-20251128-0010,d5cbcd09-6763-416c-b8bd-c5859f32ec8d,566f0937-73b3-4115-b5aa-ddf548383135,4,3000,12000,2025-11-05 20:57:07,completed
5d9db6fc-c9fe-4f7f-83d8-f13609d2cb2d,ORD-20251128-0010,d5cbcd09-6763-416c-b8bd-c5859f32ec8d,8e92045c-5e6e-49ed-ab90-b2f48ee054ac,3,18000,54000,2025-11-05 20:57:07,completed
